Magnetar,Period,Fgw,Magnetic Field Strength,Distance,d_err_plus,d_err_minus,Wavestrain,w_plus,w_minus,
MG J0100-7211,8.020392,0.24936437,3.9,62.4,1.6,1.6,1.050000E-28,1.020000E-28,1.070000E-28,4.20E-26
MG J0146+6145,8.68832877,0.230193867,1.3,3.6,0.4,0.4,1.550000E-27,1.390000E-27,1.740000E-27,71000
MG J0418+5372,9.07838822,0.220303423,0.061,2,0.2,0.2,2.550000E-27,2.320000E-27,2.830000E-27,
MG J0501+4516,5.76209653,0.347095886,1.9,2,0.2,0.2,6.320000E-27,5.750000E-27,7.030000E-27,
MG J0526-6604,8.05444,0.248310249,5.6,53.6,1.2,1.2,1.210000E-28,1.180000E-28,1.240000E-28,
MG J1050-5953,6.4578754,0.309699379,3.9,9,1.7,1.7,1.120000E-27,9.410000E-28,1.380000E-27,
MG J1550-5418,2.072,0.965250965,3.2,4.5,0.5,0.5,2.170000E-26,1.960000E-26,2.450000E-26,
MG J1622-4950,4.3261,0.462310164,2.7,9,0.9,0.9,2.490000E-27,2.270000E-27,2.770000E-27,
MG J1635-4735,2.594578,0.770838263,2.2,11,0.3,0.3,5.670000E-27,5.520000E-27,5.830000E-27,
MG J1647-4552,10.610644,0.188489973,0.66,3.9,0.7,0.7,9.570000E-28,8.110000E-28,1.170000E-27,
MG J1708-4008,11.003027,0.181768163,4.6,3.8,0.5,0.5,9.130000E-28,8.070000E-28,1.050000E-27,
MG J1714-3810,3.825352,0.522827703,5,13.2,1.32,1.32,2.170000E-27,1.980000E-27,2.420000E-27,
MG J1745-2900,3.7635537,0.531412638,1.6,8.5,0.85,0.85,3.490000E-27,3.170000E-27,3.880000E-27,
MG J1808-2024,7.547728,0.264980402,20,8.7,1.8,1.5,8.470000E-28,7.020000E-28,1.020000E-27,
MG J1809-1943,5.5403537,0.360987783,2.1,3.5,0.5,0.4,3.910000E-27,3.420000E-27,4.410000E-27,
MG J1822-1604,8.43771958,0.237030868,0.51,1.6,0.3,0.3,3.690000E-27,3.100000E-27,4.540000E-27,
MG J1833-0831,7.5654084,0.264361141,1.6,,,,,,,
MG J1834-0845,2.4823018,0.805703803,1.4,4.2,0.3,0.3,1.620000E-26,1.510000E-26,1.750000E-26,
MG J1841-0456,11.782898,0.16973753,6.9,8.5,1.3,1,3.560000E-28,3.090000E-28,4.030000E-28,
MG J1907+0919,5.19987,0.384625,7,12.5,1.7,1.7,1.240000E-27,1.090000E-27,1.440000E-27,
MG J2301+5852,6.978948446,0.286576125,0.59,3.2,0.2,0.2,2.690000E-27,2.540000E-27,2.870000E-27,